Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005634~nucleus	304	35.891381345926796	8.21924787812645E-30	RPL4, ERRFI1, ZMYND8, PWWP2B, TESK1, RAX, THYN1, KEAP1, SMC6, SOX21, ZC3H12D, LGALS3, UBASH3B, TRIM28, AKT1, DPF3, CPNE3, CPNE2, SOX7, MBNL2, SFMBT2, ESX1, PTOV1, MTUS2, PRKCA, SULT2B1, DDX39B, DDIT3, CLNS1A, MAGEB2, SIK1, LETMD1, ZFPM1, CLOCK, HOXB6, HOXB5, BEX4, CERKL, BEX3, L3MBTL3, SET, EPAS1, NAIF1, TWIST1, ZFP629, AKAP17B, GATA3, TEX19.1, GATA2, GATA1, MTDH, NUAK1, HOXC5, S100A13, HOXC4, ALX4, SFN, ZBTB7B, HMGXB3, HOXC8, LYAR, RALGDS, S100A11, PPARGC1B, LHPP, LYN, WWTR1, PLK3, SIVA1, GADD45B, ZFP516, SMARCA5, EIF2AK3, IRF2BP2, CTS7, NR0B1, REX2, GADD45G, FOSL1, FUBP1, ID1, ANP32E, ARMC12, FBXL3, NANOG, GRB2, CCNJL, TCF23, TCF21, WDR46, TUBA1C, CSRP3, PBK, RACK1, ZFP362, JAK1, TEAD3, APPL1, TEAD4, NUDC, ANXA1, DUSP3, ANXA2, HSBP1, PRMT1, ANXA3, STRADB, TFEB, TEX15, BAZ1A, ZHX1, POU5F1, GM14295, DDB1, GCHFR, ZFP251, TAX1BP3, DNASE1L3, VGLL1, KANK1, AHNAK, SATB2, ZFP948, CENPA, AIF1, PSMA7, TCEAL8, METTL21C, SERTAD2, EXOSC9, ZFP382, CHML, SF3A3, GINS2, NPM1, CDKN2B, CENPV, CDKN2A, NR1H4, TMUB1, GRHL3, PUS7L, GRHL1, DHRS4, GFI1B, FABP5, APEX1, CCNG2, SERBP1, ZYX, RIMBP3, MEGF8, HSPA1B, FHOD1, PRDM6, MAGEB16, BCCIP, MRFAP1, FGF1, PPP1CC, TUBB5, CCND1, RUVBL2, RUVBL1, CAPN2, COTL1, CAPN3, KPNA7, PHLDA1, EOMES, CDKL3, PDGFRA, SNRPN, MORC4, FST, ARID5B, HIC2, CLIP2, LMX1A, DKC1, KAT6B, DMWD, ZFP42, S100A6, WDFY1, S100A4, FKBP3, KHDRBS1, KMT2C, WDR20RT, CREM, TACSTD2, AEBP1, VCPIP1, MBP, ESRRA, KLHDC2, NEK9, TFAP2C, SMAD3, UBE2C, RHOX4A, RHOX4D, NEK6, RHOX4C, ESRRB, ZBTB10, AA467197, ARPC5, MCC, EIF2S1, TRP53, MAFF, PIR, RHOX4E, NABP1, FGFR2, MYD88, ZFP524, DYRK2, HSP90AB1, ZFP521, ONECUT3, CELF2, CDCA7L, TRADD, FHL2, HSPB1, PSIP1, PIK3CB, YBX1, SUMO2, NFKBIZ, NOS1, CDADC1, GPX4, GLRX3, FIGLA, MMP2, RBM19, ABHD14B, FOXL2, METTL22, DNAJC1, PKM, ELF3, DPPA4, ESRP2, CTDSP2, ELF5, DPPA2, IRF7, BIRC5, RBM20, SNRPA1, NAA38, 2200002D01RIK, DNAJC8, GAPDH, RBM24, FBP2, MTPN, NFAT5, HDAC2, USP27X, USP16, HDAC1, NXN, ZBTB44, MLLT3, USP18, UACA, RHOX6, RHOX5, NXF3, SERPINB9E, SAP30L, MKNK1, TRA2B, SERPINB9G, RHOX1, TRA2A, TBX20, HNRNPA1, HES3, ZKSCAN16, RHOX9, RBM38, IRX2, NOS2, IRX4, PDX1, ARID3A, NAP1L1, SSRP1, DEK, KLF2, KLF1, CRYGD, UFM1, KLF5, GM6710, R3HDM2, OTUD3	827	5988	29926	1.8371091235271833	4.997302709900882E-27	4.997302709900882E-27	4.808260008703973E-27
GOTERM_MF_DIRECT	GO:0005515~protein binding	286	33.76623376623377	4.766529355224146E-28	RPL4, CNTFR, ERRFI1, PID1, PWWP2B, STMN2, KEAP1, CBLC, ENO1, LGALS3, RINL, UBASH3B, TRIM28, GOLGA1, PIEZO1, AKT1, DPF3, FBXO6, MYOZ3, B2M, BVES, VPS39, SCN1B, 1700012B07RIK, GABARAPL2, ATP6V1G1, FNBP1, PRKCA, ANK1, RUFY1, BCR, CLDN3, DDIT3, SIK1, LETMD1, EPHA1, ZFPM1, CLOCK, HOXB6, HOXB5, SKAP2, GRID2IP, L3MBTL3, EPAS1, TWIST1, GATA3, TEX19.1, GATA2, GATA1, MTDH, GJC1, LDHA, PRKAR2A, ALX4, SFN, ZBTB7B, RALGDS, PPARGC1B, LYN, WWTR1, PLK3, DNAH17, GADD45B, ZFP516, RDX, SURF4, SMARCA5, EIF2AK3, FN1, NR0B1, PARVB, GADD45G, GJB3, FUBP1, ID1, SDC1, ARMC12, FBXL3, NANOG, GRB2, NODAL, PIGO, TCF21, ROBO1, GABRR2, TUBA1B, CSRP3, FTL1, TUBA1A, RACK1, LDLRAP1, JAK1, APPL1, TEAD4, NUDC, ANXA1, ANXA2, PRMT1, ANXA5, RHOG, TEX15, BAZ1A, POU5F1, CD200R3, DDB1, GPRC5A, TAX1BP3, MYZAP, VGLL1, ENG, AHNAK, SATB2, GRAMD4, COX5A, AIF1, FSTL1, SERTAD2, GPC3, GPAT3, CCT8, XDH, CCT5, PAIP1, CCT4, MPP1, NPM1, SLC31A1, CDKN2A, WNT7B, GBF1, DKKL1, NR1H4, GRHL3, NLRP12, GFI1B, KRT19, KRT18, ABCB10, OSTM1, SLMAP, ZYX, RIMBP3, TRIML1, MEGF8, HSPA1B, CRLF2, MRFAP1, CIB2, FGF1, PPP1CC, CAPN6, CCND1, RUVBL2, RUVBL1, COTL1, CAPN3, KPNA7, TEKT3, CAPN1, PHLDA1, SBF2, TOR3A, ABCG8, EIF1AX, CD300A, STX7, CYBA, PROCR, OLFM1, CLIP2, FRMD6, LOX, DKC1, ZFP42, ADAM12, S100A6, WDFY1, FKBP7, PRTN3, S100A4, LY6A, FKBP3, SRSF7, KHDRBS1, PLGRKT, CTTNBP2, ARL6, KMT2C, CREM, HTRA1, UBR3, DDX60, WNT6, PGK1, CD300LD, MPDZ, WNT3, PRPH, ESRRA, KLHDC2, KL, TFAP2C, SMAD3, ODF1, ESRRB, EIF2S1, BMP4, TMEM233, BMP1, SYNJ1, TMEM237, TRP53, FGFR2, MYD88, DOCK5, HSP90AB1, MAST2, TRADD, LRRK1, SLC40A1, FHL2, PIK3CB, TRH, YBX1, HOXB5OS, LMOD3, SGCD, PSTPIP2, SUMO2, NFKBIZ, CASP1, NOS1, GPX1, GLRX3, PLAUR, FOXL2, LATS1, DNAJC1, PKM, IRF7, ITGA7, BIRC5, SOS1, GAPDH, RAB1A, HDAC2, USP27X, USP16, HDAC1, NXN, U2AF1, PPM1J, SRI, MLLT3, USP18, UACA, RAB21, RHOX5, NXF3, ERBB3, TRA2B, TRA2A, TBX20, S1PR2, WASF1, TAS1R3, KCNJ10, CEACAM16, NOS2, NDUFA4, SEMA4B, PDX1, ARID3A, NAP1L1, BAIAP2, ASS1, KLF2, KLF1, UFM1, KLF5, MYO1C, EIF3L, MFAP2, CD9, KCNK1, OTUD3	810	5577	29110	1.842988287432732	5.333746348495819E-25	5.333746348495819E-25	5.171684350418198E-25
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	291	34.35655253837072	1.4577173517345338E-20	RPL4, LRRC14B, ERRFI1, PID1, ZMYND8, TESK1, STMN2, KEAP1, ENO1, CAPN15, ZC3H12D, ENDOU, LGALS3, UBASH3B, FTH1, AKT1, FBXO6, CPNE3, CPNE2, UBASH3A, PGLYRP1, SOX7, VPS39, GABARAPL2, MBNL2, ESX1, MTUS2, PRKCA, RUFY1, SULT2B1, BIN2, DDX39B, RNF128, DDIT3, TMEM79, RIN3, SIK1, CLOCK, SKAP2, LLGL2, BEX4, CERKL, BEX3, SET, EPAS1, TEX19.1, GATA2, MRPL13, MTDH, NUAK1, LDHA, CRACR2B, SNX2, SEC14L1, PRKAR2A, S100A13, VTI1A, SFN, LYAR, RALGDS, S100A11, LHPP, GSTM4, LYN, WWTR1, PLK3, NDFIP2, SIVA1, DNAH17, GADD45B, EIF2AK3, DDIT4L, IRF2BP2, NR0B1, PARVB, RMDN1, STFA1, PAICS, GADD45G, GJB1, GJB3, FUBP1, WNK3, ID1, ANP32E, GRB2, CCNJL, ARHGAP9, TINAGL1, ADM, ROBO1, TUBA1C, TUBA1B, CSRP3, FTL1, TUBA1A, NMRK1, RACK1, LDLRAP1, JAK1, APPL1, TEAD4, NUDC, ANXA1, DUSP3, ANXA2, PRMT1, ANXA3, STRADB, ANXA5, TFEB, TEX15, DUSP9, POU5F1, DDB1, GCHFR, TUBB2A, CDC42EP2, TAX1BP3, GAS6, TKT, SFI1, KANK1, AHNAK, PRSS44, AIF1, PSMA7, METTL21C, UNK, SERTAD2, HSD17B1, EXOSC9, CCT8, CHML, PAIP1, CCT4, LRRC25, RANBP1, NPM1, CDKN2B, CDKN2A, GBF1, TMUB1, NLRP12, KRT18, GSTA4, TRIML2, KLHL5, FABP5, APEX1, SLMAP, CCNG2, SERBP1, ZYX, RIMBP3, TRIML1, CYP2G1, HSPA1B, EEF1AKMT1, GHDC, FHOD1, CIB2, FGF1, BZW2, PPP1CC, TUBB5, CAPN6, CCND1, RUVBL2, CAPN2, CAPN3, TEKT3, CAPN1, SBF2, ANKRD13A, CDKL3, PDGFRA, SNRPN, CSTA1, EIF1AX, FST, SLC30A4, CYBA, FTHL17A, ALDH3A2, CLIP2, ALDH3A1, FRMD6, DMWD, ZFP42, S100A6, S100A4, SRSF7, KHDRBS1, ARL6, COX17, WDR20RT, AK1, CREM, UBR3, AK3, AEBP1, DDX60, VCPIP1, ALDH3B2, CASKIN2, PGK1, MBP, GAS2L1, MPDZ, PRPH, ESRRA, NEK9, SMAD3, ODF1, NEK6, ESRRB, ARHGAP28, ARPC5, MCC, TMPRSS13, EIF2S1, FGF17, PBP2, SYNJ1, TRP53, SERPINB6C, PIR, SAE1, FGFR2, MYD88, DOCK5, DYRK2, HSP90AB1, CELF2, MAST2, TRADD, LRRK1, HSPB1, PIK3CB, YBX1, LMOD3, PSTPIP2, CASP1, NOS1, OASL1, CDADC1, GPX1, LIX1L, RBM19, ABHD14B, PEX1, LATS1, PKM, ELF5, IRF7, ITGA7, BIRC5, NAA38, SOS1, NAT8L, GAPDH, RBM24, FBP2, MTPN, NFAT5, PRPS1, HDAC2, USP16, HDAC1, UACA, RHOX5, NXF3, SERPINB9E, MKNK1, SERPINB9G, TBX20, EEF2KMT, S1PR2, HNRNPA1, WASF1, RBM38, NOS2, NAP1L1, BAIAP2, ASS1, CRYGD, PFKL, UFM1, MYO1C, OTUD3	827	6404	29926	1.6443142775789314	8.862921498545965E-18	4.4314607492729824E-18	4.263823253823511E-18
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription by RNA polymerase II	90	10.625737898465172	5.749005394830707E-16	ZFP521, PID1, ONECUT3, FHOD1, SLC40A1, RAX, TCF21, PSIP1, YBX1, FGF1, SOX21, MYDGF, CSRP3, RUVBL2, SUMO2, NFKBIZ, AKT1, NOS1, SOX7, TEAD3, TEAD4, EOMES, ANXA2, FIGLA, PTOV1, TFEB, ABHD14B, FOXL2, POU5F1, PKM, ELF3, LMX1A, KAT6B, DDIT3, ELF5, ZFP42, IRF7, CLOCK, ZFPM1, HOXB5, ENG, NFAT5, HDAC2, USP16, HDAC1, EPAS1, KMT2C, SATB2, CREM, TWIST1, GATA3, GATA2, GATA1, RHOX5, JPX, EXOSC9, TBX20, ALX4, HOXC4, ZBTB7B, HES3, PPARGC1B, ESRRA, WWTR1, TFAP2C, NPM1, SMAD3, CDKN2A, LUM, ESRRB, PDX1, SMARCA5, NR1H4, GRHL3, ARID3A, DEK, GRHL1, KLF2, KLF1, FOSL1, BMP4, KLF5, MYO1C, APEX1, TRP53, MAFF, NANOG, NODAL, MYD88, FGFR2	810	1282	29775	2.580603224128965	1.9872992140790302E-12	2.0581439313493933E-12	2.0270993022173074E-12
GOTERM_CC_DIRECT	GO:0005829~cytosol	208	24.557260920897285	6.7006456893578796E-15	RPL4, ERRFI1, KEAP1, ENO1, ZFYVE28, LGALS3, AS3MT, RINL, FTH1, AKT1, CPNE3, UBASH3A, B2M, ATP6V1G1, SFMBT2, PRKCA, RUFY1, BCR, SULT2B1, CLNS1A, RIN3, ALPK1, CLOCK, HOXB5, SKAP2, LLGL2, BEX4, CERKL, BEX3, SET, NAIF1, AKAP17B, ADH5, LDHB, LDHA, SNX2, SEC14L1, PRKAR2A, S100A13, VTI1A, OTOG, SFN, RALGDS, PPARGC1B, LHPP, GSTM4, LYN, WWTR1, RDX, SURF4, PARVB, STFA1, HNRNPF, WNK3, FBXL3, GRB2, CLTB, TUBA1B, CSRP3, TUBA1A, RACK1, LDLRAP1, UBXN4, JAK1, APPL1, NUDC, ANXA1, DUSP3, ANXA2, HSBP1, PRMT1, STRADB, TFEB, COPZ2, GMIP, DUSP9, POU5F1, GCHFR, CDC42EP2, TKT, STX17, AHNAK, SNX33, AIF1, PSMA7, METTL21C, SERTAD2, HSD17B1, EXOSC9, CCT8, CHML, XDH, DUOX2, PAIP1, CCT4, LRRC25, RANBP1, NPM1, CENPV, GBF1, KRT18, FABP5, OSTM1, PSMC4, CCNG2, SERBP1, ZYX, HSPA1B, SYS1, FHOD1, BCCIP, CIB2, GIMAP4, FGF1, TUBB5, CCND1, FAM162A, RUVBL2, RUVBL1, DUOXA2, CAPN2, COTL1, CAPN3, KPNA7, CAPN1, SBF2, DGAT2, CSTA1, ALDH3A1, S100A6, WDFY1, PRTN3, S100A4, ARL6, KMT2C, AK1, HTRA1, GMPS, DDX60, PGK1, SMAD3, UBE2C, NEK6, ESRRB, MCC, EIF2S1, TRP53, PIR, NABP1, MYD88, DOCK5, DYRK2, HSP90AB1, ONECUT3, CDCA7L, LRRK1, SLC40A1, PIK3CB, YBX1, PSTPIP2, CASP1, NOS1, OASL1, GPX1, GPX4, GLRX3, ABHD14B, PEX1, PKM, ELF3, EHHADH, ALDH1A1, IRF7, BIRC5, 2200002D01RIK, DNAJC8, SOS1, BCAT1, GAPDH, RBM24, BLVRA, FBP2, MTPN, NFAT5, PRPS1, RAB1A, USP27X, HDAC1, NXN, SRI, MLLT3, USP18, UACA, SERPINB9E, SERPINB9G, EPS8L2, AKAIN1, RBM38, NOS2, PDX1, ARID3A, BAIAP2, ASS1, GALE, PFKL, MYO1C, PPP2R2C, SCLY	827	4458	29926	1.6883653586910587	4.050093593832571E-12	1.3579975263765302E-12	1.3066259094247866E-12
GOTERM_MF_DIRECT	GO:0001228~DNA-binding transcription activator activity, RNA polymerase II-specific	55	6.493506493506493	9.212666292106008E-15	ONECUT3, RAX, TCF21, SOX21, SOX7, TEAD4, FIGLA, TFEB, FOXL2, POU5F1, GM14295, ELF3, LMX1A, DDIT3, ELF5, ZFP42, CLOCK, HOXB5, NFAT5, EPAS1, SATB2, TWIST1, ZFP948, ZFP629, GATA3, GATA2, GATA1, RHOX6, RHOX5, TBX20, RHOX1, ALX4, HOXC4, ZBTB7B, RHOX9, ESRRA, TFAP2C, SMAD3, RHOX4A, RHOX4D, ESRRB, RHOX4C, IRX4, PDX1, NR1H4, GRHL3, GRHL1, KLF1, FOSL1, GFI1B, KLF5, TRP53, MAFF, RHOX4E, NANOG	810	578	29110	3.4197317271135033	1.0311418385811066E-11	5.154486790433312E-12	4.99787146346751E-12
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	120	14.167650531286895	3.2182296772817984E-14	FHOD1, PRDM6, MRFAP1, KEAP1, ENO1, UBASH3B, RUVBL2, FTH1, CAPN3, PIEZO1, AKT1, SBF2, B2M, FNBP1, CCNB1IP1, RUFY1, CLDN3, DDX39B, DDIT3, TMEM79, S100A4, BEX3, KHDRBS1, L3MBTL3, SLC22A6, HTRA1, TWIST1, AK3, GATA3, ADH5, LDHB, LDHA, SNX2, PRKAR2A, SFN, TRPM5, ZBTB7B, LYAR, GSTM4, SMAD3, EIF2AK3, FN1, GDF6, PAICS, GADD45G, BMP4, GJB1, BMP1, TRP53, ID1, SDC1, NANOG, GRB2, FGFR2, MYD88, HSP90AB1, TRADD, LRRK1, FHL2, SLC40A1, HSPB1, ROBO1, CSRP3, SERPINA1C, FTL1, TUBA1A, CASP1, NOS1, APPL1, ANXA1, ANXA2, GPX4, GLRX3, HSBP1, PRMT1, GPX3, ANXA5, GCHFR, GREM2, CEACAM2, PKM, ALDH1A1, BIRC5, BCAT1, SLC25A12, GAPDH, FBP2, ENG, PRPS1, AHNAK, SERPINC1, PON2, SNX33, SRI, PSMA7, RHOX6, ERBB3, TRA2B, TRA2A, HNRNPA1, XDH, SRSF11, CD209D, NPM1, KCNJ10, CEACAM16, NOS2, SLC31A1, ARID3A, BAIAP2, GRHL1, SLC8B1, ASS1, DHRS4, GALE, PFKL, ABCB10, TRIML2, FABP5, KCNK1	810	2076	29110	2.0773567401698423	3.6027847372110955E-11	1.2003996696261109E-11	1.1639263999502506E-11
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	177	20.89728453364817	7.585080279236404E-14	ICE1, ZMYND8, FHOD1, PWWP2B, BCCIP, MRFAP1, KEAP1, SMC6, FGF1, ZC3H12D, LGALS3, TRIM28, CCND1, RUVBL2, RUVBL1, AKT1, DPF3, KPNA7, CPNE3, UBASH3A, PHLDA1, EOMES, PDGFRA, ZFP973, MBNL2, CSTA1, SNRPN, MORC4, SFMBT2, PTOV1, HIC2, DKC1, DDIT3, CLNS1A, ADAM12, S100A4, LETMD1, SRSF7, CLOCK, HOXB5, SKAP2, BEX4, KHDRBS1, CERKL, L3MBTL3, SET, KMT2C, NAIF1, TWIST1, GATA3, GATA2, GATA1, GJC1, NUAK1, SEC14L1, OARD1, HOXC5, S100A13, HOXC4, ALX4, TSPAN2, ZBTB7B, HOXC8, LYAR, PPARGC1B, ESRRA, KLHDC2, WWTR1, TFAP2C, SMAD3, SIVA1, NEK6, ESRRB, SMARCA5, ZBTB10, IRF2BP2, NR0B1, ARHGAP28, MCC, STFA1, FOSL1, TRP53, FUBP1, HNRNPF, ID1, MAFF, PIR, NABP1, NANOG, ARMC12, FBXL3, GRB2, SAE1, DYRK2, ZFP521, CDCA7L, CELF2, SLC40A1, PSIP1, TCF21, PIK3CB, CSRP3, SUMO2, RACK1, NOS1, OASL1, TEAD4, MRPS26, ANXA1, DUSP3, PRMT1, RBM19, TFEB, ABHD14B, FOXL2, GMIP, ZHX1, POU5F1, DDB1, GCHFR, METTL22, ELF3, DPPA4, ESRP2, DPPA2, IRF7, SNRPA1, NAA38, 2200002D01RIK, DNAJC8, TKT, VGLL1, RBM24, NFAT5, HDAC2, HDAC1, NDUFB5, SATB2, U2AF1, SRI, MLLT3, CENPA, UACA, PSMA7, NXF3, SERTAD2, SERPINB9E, SAP30L, MKNK1, EXOSC9, TRA2B, TRA2A, SERPINB9G, TBX20, CHML, CCT8, HNRNPA1, SRSF11, CCT4, SF3A3, IRX2, CENPV, NPM1, CDKN2A, PDX1, GRHL3, ARID3A, DEK, BAIAP2, GRHL1, ASS1, KLF1, GFI1B, KLF5, PSMC4, EIF3L, APEX1	827	3665	29926	1.7476016635020974	4.61035654097941E-11	1.1529322024439333E-11	1.109317990838324E-11
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription by RNA polymerase II	93	10.979929161747345	2.834144147474345E-11	ZFP524, ONECUT3, TCF23, RAX, FHL2, TCF21, PPP1CC, RUVBL2, RUVBL1, ZFP362, DPF3, SOX7, TEAD3, TEAD4, EOMES, DUSP3, FIGLA, ESX1, TFEB, ARID5B, FOXL2, ZHX1, POU5F1, GM14295, HIC2, ELF3, LMX1A, KAT6B, DDIT3, ELF5, CTDSP2, ZFP42, IRF7, FKBP7, ZFP251, SOS1, FKBP3, VGLL1, CLOCK, HOXB6, HOXB5, NFAT5, USP16, HDAC1, EPAS1, SATB2, CREM, TWIST1, ZFP948, ZFP629, PPM1J, GATA3, MTDH, RHOX6, RHOX5, TBX20, RHOX1, HOXC5, ALX4, ZFP382, ZBTB7B, HES3, ZKSCAN16, HOXC8, RHOX9, ESRRA, IRX2, TFAP2C, SMAD3, RHOX4A, RHOX4D, ESRRB, RHOX4C, IRX4, PDX1, ZBTB10, NR1H4, IRF2BP2, GRHL3, ARID3A, REX2, GRHL1, KLF2, KLF1, FOSL1, GFI1B, KLF5, TRP53, FUBP1, MAFF, GM6710, RHOX4E, NANOG	810	1632	29775	2.09473720043573	1.014623511874646E-7	5.0731180239790776E-8	4.99659613199727E-8
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription by RNA polymerase II	66	7.792207792207792	1.8271094511362947E-10	ZMYND8, MAGEB16, PRDM6, TCF23, FHL2, TCF21, KEAP1, YBX1, ENO1, SOX21, CCND1, TRIM28, EOMES, ZFP973, FST, ESX1, ARID5B, FOXL2, ZHX1, POU5F1, DDIT3, MAGEB2, SIK1, ZFPM1, ENG, KHDRBS1, HDAC2, HDAC1, EPAS1, SATB2, CREM, TWIST1, AEBP1, GATA3, GATA2, GATA1, MTDH, RHOX5, SAP30L, TBX20, SFN, ZFP382, ZBTB7B, HES3, LYAR, HOXC8, ESRRA, WWTR1, IRX2, PLK3, SMAD3, IRX4, PDX1, ZBTB10, NR1H4, IRF2BP2, NR0B1, KLF2, BMP4, GFI1B, KLF5, TRP53, ID1, NANOG, NODAL, FGFR2	810	1015	29775	2.390257252326218	6.541050139308169E-7	2.1803506116893116E-7	2.1474626415688582E-7
GOTERM_MF_DIRECT	GO:0003677~DNA binding	83	9.799291617473434	2.337431055886222E-9	ZFP521, ANKRD33B, RAX, SOX21, TRIM28, SOX7, OASL1, TEAD3, TEAD4, EOMES, TFEB, ARID5B, FOXL2, BAZ1A, ZHX1, POU5F1, HIC2, DNAJC1, ELF3, KAT6B, DDIT3, IRF7, CLOCK, ZFPM1, DNASE1L3, HOXB5, NFAT5, SET, HDAC1, EPAS1, KMT2C, SATB2, CREM, ZFP629, ZBTB44, MLLT3, GATA2, CENPA, GATA1, RHOX6, RHOX5, SAP30L, TBX20, RHOX1, HOXC5, ALX4, HOXC4, ZFP382, HMGXB3, HNRNPA1, ZBTB7B, HES3, LYAR, HOXC8, RHOX9, ESRRA, IRX2, TFAP2C, NPM1, SMAD3, CDKN2A, RHOX4A, RHOX4D, RHOX4C, IRX4, ZBTB10, SMARCA5, NR1H4, ARID3A, SSRP1, DEK, GRHL1, KLF2, KLF1, FOSL1, GFI1B, KLF5, APEX1, TRP53, MAFF, RHOX4E, NABP1, NANOG	810	1480	29110	2.015457123790457	2.615581901066477E-6	6.538963378841706E-7	6.340281739091377E-7
GOTERM_MF_DIRECT	GO:1990837~sequence-specific double-stranded DNA binding	43	5.076741440377805	4.268685022308921E-9	ZFP524, NFAT5, ONECUT3, RAX, CREM, TCF21, YBX1, GATA3, GATA2, GATA1, RHOX6, TBX20, ALX4, HOXC4, ZBTB7B, HOXC8, SOX7, ESRRA, EOMES, TFAP2C, MBNL2, FIGLA, ESRRB, ESX1, PDX1, TFEB, FOXL2, GRHL1, KLF2, POU5F1, FOSL1, GFI1B, KLF5, ELF3, LMX1A, ELF5, MAFF, ZFP42, IRF7, NANOG, CLOCK, HOXB6, HOXB5	810	549	29110	2.8148373023904294	4.77664719766846E-6	9.553317079927365E-7	9.263046498410359E-7
GOTERM_MF_DIRECT	GO:0003700~DNA-binding transcription factor activity	44	5.194805194805195	9.593490659988765E-9	ZFP524, NFAT5, ONECUT3, EPAS1, CREM, TWIST1, GATA3, GATA2, SOX21, GATA1, TBX20, ZFP362, ALX4, HOXC4, ZFP382, ZBTB7B, SOX7, TEAD3, ESRRA, TEAD4, EOMES, TFAP2C, SMAD3, ESRRB, NR1H4, PDX1, TFEB, FOXL2, GRHL1, ZHX1, KLF2, POU5F1, KLF1, FOSL1, KLF5, ELF3, DDIT3, ELF5, TRP53, MAFF, IRF7, NANOG, CLOCK, HOXB5	810	586	29110	2.6984367757974126	1.073505848847578E-5	1.6107015030448325E-6	1.5617615109952128E-6
GOTERM_MF_DIRECT	GO:0061629~RNA polymerase II-specific DNA-binding transcription factor binding	24	2.833530106257379	1.0075880716098148E-8	EOMES, HDAC2, SMAD3, CDKN2A, HDAC1, EPAS1, ESRRB, TCF23, HSPB1, KEAP1, NR0B1, GATA3, GATA2, GATA1, POU5F1, MTDH, CSRP3, GFI1B, TRP53, DDIT3, EXOSC9, TBX20, ZFPM1, TEAD3	810	200	29110	4.312592592592593	1.1274846982156639E-5	1.6107015030448325E-6	1.5617615109952128E-6
GOTERM_CC_DIRECT	GO:0032991~protein-containing complex	59	6.965761511216057	1.0827834269747283E-8	HSP90AB1, FRMPD4, TRADD, KEAP1, YBX1, PPP1CC, TUBB5, TRIM28, RUVBL1, CASP1, AKT1, CAPN3, NOS1, HABP2, PDGFRA, ANXA1, ANXA2, GPX4, PRMT1, PRKCA, DDB1, GCHFR, BCR, METTL22, CLDN3, DDX39B, ZFP42, BIRC5, PI4K2A, PRPS1, KHDRBS1, HDAC2, SLC22A6, SET, HDAC1, METTL21C, SNX2, PRKAR2A, TRA2B, EEF2KMT, EPS8L2, MBP, UGGT2, WASF1, LYN, NPM1, CDKN2A, NEK6, GJB1, KRT18, SYNJ1, TRP53, SDC1, CD9, ESAM, MT-CYTB, GRB2, HSPA1B, MYD88	827	937	29926	2.278534363833222	6.583301617513193E-6	1.3166646472012696E-6	1.266856609560432E-6
